Loading assemblies from: C:\Users\Tal\AppData\Local\Apps\2.0\X5MLETMC.WLM\5NNM9X0W.CBM\mtgo..tion_a7d96b15d2cce030_0003.0004_b5d581d94d59763e
opcode	type
261	WotC.MTGO.Common.Message.FlsReferralCampaignCreateRespMessage
262	WotC.MTGO.Common.Message.FlsReferralCampaignViewReqMessage
263	WotC.MTGO.Common.Message.FlsReferralCampaignViewRespMessage
264	WotC.MTGO.Common.Message.FlsReferralCampaignEditReqMessage
265	WotC.MTGO.Common.Message.FlsReferralCampaignEditRespMessage
266	WotC.MTGO.Common.Message.NacsPasswordResetSetPasswordRespMessage
267	WotC.MTGO.Common.Message.NacsPasswordResetCancelReqMessage
268	WotC.MTGO.Common.Message.FlsUserReferralStateSyncMessage
269	WotC.MTGO.Common.Message.NacsPasswordResetCancelRespMessage
270	WotC.MTGO.Common.Message.NacsIdleTimeoutWarningFafMessage
271	WotC.MTGO.Common.Message.NacsSessionKickFafMessage
272	WotC.MTGO.Common.Message.NacsStateSyncFafMessage
273	WotC.MTGO.Common.Message.NacsActivateAccountReqMessage
274	WotC.MTGO.Common.Message.NacsActivateAccountRespMessage
275	WotC.MTGO.Common.Message.NacsNameAvailableReqMessage
276	WotC.MTGO.Common.Message.NacsNameAvailableRespMessage
277	WotC.MTGO.Common.Message.NacsFreeAccountCreateReqMessage
278	WotC.MTGO.Common.Message.NacsFreeAccountCreateRespMessage
279	WotC.MTGO.Common.Message.DosChangePlayerTypeReqMessage
280	WotC.MTGO.Common.Message.DosChangePlayerTypeRespMessage
281	WotC.MTGO.Common.Message.AdmChangePlayerTypeReqMessage
282	WotC.MTGO.Common.Message.AdmChangePlayerTypeRespMessage
283	WotC.MTGO.Common.Message.DosDebugModeChangedFafMessage
284	WotC.MTGO.Common.Message.FlsPileDraftSubmitDivisionMessage
285	WotC.MTGO.Common.Message.FlsCarouselAdsReqMessage
286	WotC.MTGO.Common.Message.FlsCarouselAdsRespMessage
287	WotC.MTGO.Common.Message.FlsPileDraftPendingPickMessage
288	WotC.MTGO.Common.Message.ChatSendAllMessage
289	WotC.MTGO.Common.Message.FlsPromocodeRedemptionReqMessage
290	WotC.MTGO.Common.Message.FlsPromocodeRedemptionRespMessage
291	WotC.MTGO.Common.Message.PrivateChatMessageMessage
292	WotC.MTGO.Common.Message.FlsClanInvitePlayersMessage
293	WotC.MTGO.Common.Message.FlsClanAcceptInvitationMessage
294	WotC.MTGO.Common.Message.FlsClanDeclineInvitationMessage
295	WotC.MTGO.Common.Message.FlsClanInvitationMessage
296	WotC.MTGO.Common.Message.FlsClanInvitationAcceptedMessage
297	WotC.MTGO.Common.Message.FlsClanInvitationDeclinedMessage
298	WotC.MTGO.Common.Message.FlsClanInvitationFailureMessage
299	WotC.MTGO.Common.Message.FlsClanPromoteCaptainMessage
300	WotC.MTGO.Common.Message.GetCollectionMessage
301	WotC.MTGO.Common.Message.FlsPileDraftSubmitPickMessage
302	WotC.MTGO.Common.Message.CollectionInsufficientDigitalobjectsMessage
303	WotC.MTGO.Common.Message.FlsPileDraftDivisionSucceededMessage
304	WotC.MTGO.Common.Message.SendBroadcastAlertMessageMessage
305	WotC.MTGO.Common.Message.SendSingleAlertMessageMessage
306	WotC.MTGO.Common.Message.SystemAlertMessageMessage
307	WotC.MTGO.Common.Message.SingleAlertMessageMessage
308	WotC.MTGO.Common.Message.SendFlsAlertMessageMessage
309	WotC.MTGO.Common.Message.FlsClanPlayerRemovedMessage
